#MetaNetX/TSV/stoichiometries.tsv 1.1
#ID	description	xrefs	gene_names
FRD7	M_q8h2@c	-1	M_q8h2	c
FRD7	M_succ@c	1	M_succ	c
FRUpts2	M_f6p@c	1	M_f6p	c
FRUpts2	M_fru@e	-1	M_fru	e
FRUpts2	M_pep@c	-1	M_pep	c
FRUpts2	M_pyr@c	1	M_pyr	c
FUM	M_fum@c	-1	M_fum	c
FUM	M_h2o@c	-1	M_h2o	c
FUM	M_mal__L@c	1	M_mal__L	c
FUMt2_2	M_fum@c	1	M_fum	c
FUMt2_2	M_fum@e	-1	M_fum	e
FUMt2_2	M_h@c	2	M_h	c
FUMt2_2	M_h@e	-2	M_h	e
G6PDH2r	M_6pgl@c	1	M_6pgl	c
G6PDH2r	M_g6p@c	-1	M_g6p	c
G6PDH2r	M_h@c	1	M_h	c
G6PDH2r	M_nadp@c	-1	M_nadp	c
G6PDH2r	M_nadph@c	1	M_nadph	c
GAPD	M_13dpg@c	1	M_13dpg	c
GAPD	M_g3p@c	-1	M_g3p	c
GAPD	M_h@c	1	M_h	c
GAPD	M_nad@c	-1	M_nad	c
GAPD	M_nadh@c	1	M_nadh	c
GAPD	M_pi@c	-1	M_pi	c
GLCpts	M_g6p@c	1	M_g6p	c
GLCpts	M_glc__D@e	-1	M_glc__D	e
GLCpts	M_pep@c	-1	M_pep	c
GLCpts	M_pyr@c	1	M_pyr	c
GLNS	M_adp@c	1	M_adp	c
GLNS	M_atp@c	-1	M_atp	c
GLNS	M_gln__L@c	1	M_gln__L	c
GLNS	M_glu__L@c	-1	M_glu__L	c
GLNS	M_h@c	1	M_h	c
GLNS	M_nh4@c	-1	M_nh4	c
GLNS	M_pi@c	1	M_pi	c
GLNabc	M_adp@c	1	M_adp	c
GLNabc	M_atp@c	-1	M_atp	c
GLNabc	M_gln__L@c	1	M_gln__L	c
GLNabc	M_gln__L@e	-1	M_gln__L	e
GLNabc	M_h2o@c	-1	M_h2o	c
GLNabc	M_h@c	1	M_h	c
GLNabc	M_pi@c	1	M_pi	c
GLUDy	M_akg@c	1	M_akg	c
GLUDy	M_glu__L@c	-1	M_glu__L	c
GLUDy	M_h2o@c	-1	M_h2o	c
GLUDy	M_h@c	1	M_h	c
GLUDy	M_nadp@c	-1	M_nadp	c
GLUDy	M_nadph@c	1	M_nadph	c
GLUDy	M_nh4@c	1	M_nh4	c
GLUN	M_gln__L@c	-1	M_gln__L	c
GLUN	M_glu__L@c	1	M_glu__L	c
GLUN	M_h2o@c	-1	M_h2o	c
GLUN	M_nh4@c	1	M_nh4	c
GLUSy	M_akg@c	-1	M_akg	c
GLUSy	M_gln__L@c	-1	M_gln__L	c
GLUSy	M_glu__L@c	2	M_glu__L	c
GLUSy	M_h@c	-1	M_h	c
GLUSy	M_nadp@c	1	M_nadp	c
GLUSy	M_nadph@c	-1	M_nadph	c
GLUt2r	M_glu__L@c	1	M_glu__L	c
GLUt2r	M_glu__L@e	-1	M_glu__L	e
GLUt2r	M_h@c	1	M_h	c
GLUt2r	M_h@e	-1	M_h	e
GND	M_6pgc@c	-1	M_6pgc	c
GND	M_co2@c	1	M_co2	c
GND	M_nadp@c	-1	M_nadp	c
GND	M_nadph@c	1	M_nadph	c
GND	M_ru5p__D@c	1	M_ru5p__D	c
H2Ot	M_h2o@c	1	M_h2o	c
H2Ot	M_h2o@e	-1	M_h2o	e
ICDHyr	M_akg@c	1	M_akg	c
ICDHyr	M_co2@c	1	M_co2	c
ICDHyr	M_icit@c	-1	M_icit	c
ICDHyr	M_nadp@c	-1	M_nadp	c
ICDHyr	M_nadph@c	1	M_nadph	c
ICL	M_glx@c	1	M_glx	c
ICL	M_icit@c	-1	M_icit	c
ICL	M_succ@c	1	M_succ	c
LDH_D	M_h@c	1	M_h	c
LDH_D	M_lac__D@c	-1	M_lac__D	c
LDH_D	M_nad@c	-1	M_nad	c
LDH_D	M_nadh@c	1	M_nadh	c
LDH_D	M_pyr@c	1	M_pyr	c
MALS	M_accoa@c	-1	M_accoa	c
MALS	M_coa@c	1	M_coa	c
MALS	M_glx@c	-1	M_glx	c
MALS	M_h2o@c	-1	M_h2o	c
MALS	M_h@c	1	M_h	c
MALS	M_mal__L@c	1	M_mal__L	c
MALt2_2	M_h@c	2	M_h	c
MALt2_2	M_h@e	-2	M_h	e
MALt2_2	M_mal__L@c	1	M_mal__L	c
MALt2_2	M_mal__L@e	-1	M_mal__L	e
MDH	M_h@c	1	M_h	c
MDH	M_mal__L@c	-1	M_mal__L	c
MDH	M_nad@c	-1	M_nad	c
MDH	M_nadh@c	1	M_nadh	c
MDH	M_oaa@c	1	M_oaa	c
ME1	M_co2@c	1	M_co2	c
ME1	M_mal__L@c	-1	M_mal__L	c
ME1	M_nad@c	-1	M_nad	c
ME1	M_nadh@c	1	M_nadh	c
ME1	M_pyr@c	1	M_pyr	c
ME2	M_co2@c	1	M_co2	c
ME2	M_mal__L@c	-1	M_mal__L	c
ME2	M_nadp@c	-1	M_nadp	c
ME2	M_nadph@c	1	M_nadph	c
ME2	M_pyr@c	1	M_pyr	c
NADH16	M_h@c	-4	M_h	c
NADH16	M_h@e	3	M_h	e
NADH16	M_nad@c	1	M_nad	c
NADH16	M_nadh@c	-1	M_nadh	c
NADH16	M_q8@c	-1	M_q8	c
NADH16	M_q8h2@c	1	M_q8h2	c
NADTRHD	M_nad@c	-1	M_nad	c
NADTRHD	M_nadh@c	1	M_nadh	c
NADTRHD	M_nadp@c	1	M_nadp	c
NADTRHD	M_nadph@c	-1	M_nadph	c
NH4t	M_nh4@c	1	M_nh4	c
NH4t	M_nh4@e	-1	M_nh4	e
O2t	M_o2@c	1	M_o2	c
O2t	M_o2@e	-1	M_o2	e
PDH	M_accoa@c	1	M_accoa	c
PDH	M_co2@c	1	M_co2	c
PDH	M_coa@c	-1	M_coa	c
PDH	M_nad@c	-1	M_nad	c
PDH	M_nadh@c	1	M_nadh	c
PDH	M_pyr@c	-1	M_pyr	c
PFK	M_adp@c	1	M_adp	c
PFK	M_atp@c	-1	M_atp	c
PFK	M_f6p@c	-1	M_f6p	c
PFK	M_fdp@c	1	M_fdp	c
PFK	M_h@c	1	M_h	c
PFL	M_accoa@c	1	M_accoa	c
PFL	M_coa@c	-1	M_coa	c
PFL	M_for@c	1	M_for	c
PFL	M_pyr@c	-1	M_pyr	c
PGI	M_f6p@c	1	M_f6p	c
PGI	M_g6p@c	-1	M_g6p	c
PGK	M_13dpg@c	1	M_13dpg	c
PGK	M_3pg@c	-1	M_3pg	c
PGK	M_adp@c	1	M_adp	c
PGK	M_atp@c	-1	M_atp	c
PGL	M_6pgc@c	1	M_6pgc	c
PGL	M_6pgl@c	-1	M_6pgl	c
PGL	M_h2o@c	-1	M_h2o	c
PGL	M_h@c	1	M_h	c
PGM	M_2pg@c	-1	M_2pg	c
PGM	M_3pg@c	1	M_3pg	c
PIt2r	M_h@c	1	M_h	c
PIt2r	M_h@e	-1	M_h	e
PIt2r	M_pi@c	1	M_pi	c
PIt2r	M_pi@e	-1	M_pi	e
PPC	M_co2@c	-1	M_co2	c
PPC	M_h2o@c	-1	M_h2o	c
PPC	M_h@c	1	M_h	c
PPC	M_oaa@c	1	M_oaa	c
PPC	M_pep@c	-1	M_pep	c
PPC	M_pi@c	1	M_pi	c
PPCK	M_adp@c	1	M_adp	c
PPCK	M_atp@c	-1	M_atp	c
PPCK	M_co2@c	1	M_co2	c
PPCK	M_oaa@c	-1	M_oaa	c
PPCK	M_pep@c	1	M_pep	c
PPS	M_amp@c	1	M_amp	c
PPS	M_atp@c	-1	M_atp	c
