#MetaNetX/TSV/reactions.tsv 1.1
#ID	equation	source	mnxr_ID	classifs	pathways	xrefs
MAR00036	1 MAM00005@c + 1 MAM00013@c + 1 MAM00014@x + 1 MAM00029@c + 1 MAM00254@c + 1 MAM00254@m + 1 MAM00254@x + 1 MAM00270@c + 1 MAM00270@r + 1 MAM00274@c + 1 MAM00274@r + 1 MAM00276@c + 1 MAM00277@c + 1 MAM00278@c + 1 MAM00280@c + 1 MAM00282@c + 1 MAM00284@c + 1 MAM00284@m + 1 MAM00284@r + 1 MAM00293@c + 1 MAM00297@c + 1 MAM00298@c + 1 MAM00304@c + 1 MAM00306@c + 1 MAM00308@c + 1 MAM00318@c + 1 MAM00318@r + 1 MAM00319@c + 1 MAM00320@c + 1 MAM00321@c + 1 MAM00322@c + 1 MAM00323@c + 1 MAM00323@r + 1 MAM00324@r + 1 MAM00327@c + 1 MAM00327@r + 1 MAM00328@c + 1 MAM00328@r + 1 MAM00333@r + 1 MAM00334@c + 1 MAM00336@c + 1 MAM00338@c + 1 MAM00340@c + 1 MAM00352@r + 1 MAM00354@c + 1 MAM00364@c + 1 MAM00366@r + 1 MAM00376@c + 1 MAM00378@c + 1 MAM00382@c + 1 MAM00383@c + 1 MAM00384@c + 1 MAM00386@c + 1 MAM00386@x + 1 MAM00386@r + 1 MAM00387@c + 1 MAM00387@x + 1 MAM00387@r + 1 MAM00388@c + 1 MAM00388@x + 1 MAM00388@r + 1 MAM00389@c + 1 MAM00389@x + 1 MAM00389@r + 1 MAM00392@c + 1 MAM00395@c + 1 MAM00396@c + 1 MAM00398@x + 1 MAM00414@c + 1 MAM00424@m + 1 MAM00425@x + 1 MAM00426@c + 1 MAM00428@r + 1 MAM00430@c + 1 MAM00590@c + 1 MAM00595@c + 1 MAM00595@r + 1 MAM00598@c + 1 MAM00598@r + 1 MAM00602@c + 1 MAM00687@m + 1 MAM00687@x + 1 MAM01038@n + 1 MAM01039@x + 1 MAM01041@n + 1 MAM01046@c + 1 MAM01047@c + 1 MAM01049@c + 1 MAM01050@c + 1 MAM01051@c + 1 MAM01054@r + 1 MAM01055@c + 1 MAM01120@c + 1 MAM01120@r + 1 MAM01122@c + 1 MAM01122@r + 1 MAM01150@c + 1 MAM01150@m + 1 MAM01150@x + 1 MAM01153@c + 1 MAM01153@m + 1 MAM01153@x + 1 MAM01153@r + 1 MAM01167@c + 1 MAM01168@r + 1 MAM01171@c + 1 MAM01171@m + 1 MAM01171@x + 1 MAM01172@c + 1 MAM01172@m + 1 MAM01172@x + 1 MAM01190@c + 1 MAM01202@c + 1 MAM01208@c + 1 MAM01209@r + 1 MAM01210@c + 1 MAM01213@c + 1 MAM01239@c + 1 MAM02097@c + 1 MAM02097@x + 1 MAM02368@c + 1 MAM02395@n + 1 MAM02395@x + 1 MAM02395@r + 1 MAM02396@x + 1 MAM02396@r + 1 MAM02441@c + 1 MAM02538@c + 1 MAM02538@n + 1 MAM02649@m + 1 MAM02649@x + 1 MAM02786@r + 1 MAM02787@n + 1 MAM02793@r + 1 MAM02796@r + 1 MAM02797@c + 1 MAM02798@c + 1 MAM02799@c + 1 MAM02851@c + 1 MAM02852@c + 1 MAM02862@c + 1 MAM02863@c + 1 MAM02864@c + 1 MAM03055@c + 1 MAM03055@x + 1 MAM03055@r + 1 MAM03056@c --> 1 MAM10003@e	MAR00036				vmhreaction:arachidonates
MAR00037	1 MAM00400@c + 1 MAM00400@r + 1 MAM00432@r + 1 MAM00604@c + 1 MAM00624@c + 1 MAM00641@c + 1 MAM00641@m + 1 MAM00641@x + 1 MAM00641@r + 1 MAM00642@c + 1 MAM00642@m + 1 MAM00642@x + 1 MAM00642@r + 1 MAM00644@c + 1 MAM00645@c + 1 MAM00649@l + 1 MAM00649@r + 1 MAM00651@c + 1 MAM00651@m + 1 MAM00651@x + 1 MAM00651@r + 1 MAM00652@c + 1 MAM00652@m + 1 MAM00652@x + 1 MAM00652@r + 1 MAM00659@c + 1 MAM00660@c + 1 MAM00660@r + 1 MAM00747@r + 1 MAM00759@c + 1 MAM00828@r + 1 MAM00830@c + 1 MAM00925@c + 1 MAM00927@c + 1 MAM00945@c + 1 MAM00947@c + 1 MAM00949@c + 1 MAM00987@c + 1 MAM00987@m + 1 MAM00987@x + 1 MAM00987@r + 1 MAM00988@c + 1 MAM01001@c + 1 MAM01001@m + 1 MAM01001@x + 1 MAM01001@r + 1 MAM01011@c + 1 MAM01012@c + 1 MAM01792@r + 1 MAM01794@r + 1 MAM02469@c --> 1 MAM10001@e	MAR00037				vmhreaction:steroids
MAR00038	1 MAM00266@c <==> 1 MAM00266@m	MAR00038				biggR:10FTHFtm;mnx:MNXR94672;vmhreaction:10FTHFtm
MAR00039	1 MAM00248@c + 1 MAM02040@c + 1 MAM02630@c --> 1 MAM00760@c + 1 MAM02041@c + 1 MAM02579@c	MAR00039		1.4.3.6		biggR:13DAMPPOX;mnx:MNXR94687;vmhreaction:13DAMPPOX
MAR00040	1 MAM01005@m + 1 MAM02039@m + 1 MAM02553@m --> 1 MAM02552@m + 1 MAM01004@m	MAR00040				biggR:34HPLFM;mnx:MNXR94842;vmhreaction:34HPLFM
MAR00041	1 MAM00767@m + 1 MAM02039@m + 1 MAM02553@m + 1 MAM02630@m --> 1 MAM00725@m + 1 MAM02040@m + 1 MAM02552@m	MAR00041				biggR:3DPHBH1;mnx:MNXR94864;vmhreaction:3DPHBH1
MAR00042	1 MAM02040@m + 1 MAM03226@m --> 1 MAM00784@m + 1 MAM01597@m + 1 MAM02039@m	MAR00042		3.1.2.4		biggR:3HBCOAHLm;mnx:MNXR94891;vmhreaction:3HBCOAHLm
MAR00043	1 MAM02040@c + 1 MAM00799@c --> 1 MAM01597@c + 1 MAM02039@c + 1 MAM02142@c	MAR00043		3.1.2.4		biggR:3HPCOAHYD;mnx:MNXR94900;vmhreaction:3HPCOAHYD
MAR00044	1 MAM02552@c + 1 MAM02142@c <==> 1 MAM02039@c + 1 MAM02553@c + 1 MAM00900@c	MAR00044		1.1.1.59		biggR:3HPPD;mnx:MNXR94902;vmhreaction:3HPPD
MAR00045	1 MAM00824@c + 1 MAM02039@c --> 1 MAM00824@m + 1 MAM02039@m	MAR00045				biggR:3MOBt2im;mnx:MNXR94923;vmhreaction:3MOBt2im
