#MetaNetX/TSV/enzymes.tsv 1.1
#reac_ID	complex	LB	UB	direction
mnxr101892c3	MDAB_ECOLI	0	1000	LR
mnxr101893c3	MDAB_ECOLI	0	1000	LR
mnxr101898c3	STHA_ECOLI	-1000	0	RL
mnxr101912c2b		0	1000	LR
mnxr101912c2c19	OMPC_ECOLI;OMPF_ECOLI;OMPN_ECOLI;PHOE_ECOLI	-1000	1000	B
mnxr101914c3c19	NHAB_ECOLI	0	1000	LR
mnxr101915c3c19	NHAA_ECOLI	0	1000	LR
mnxr101937c3	KAD_ECOLI;NDK_ECOLI	-1000	1000	B
mnxr101938c3	KAD_ECOLI;NDK_ECOLI	-1000	1000	B
mnxr101939c3	KAD_ECOLI;NDK_ECOLI	-1000	1000	B
mnxr101940c3	KAD_ECOLI;NDK_ECOLI	-1000	1000	B
mnxr101950c2b		-1000	1000	B
mnxr101950c2c19	OMPC_ECOLI;OMPF_ECOLI;OMPN_ECOLI;PHOE_ECOLI	-1000	1000	B
mnxr101950c3c19	AMTB_ECOLI;s0001	-1000	1000	B
mnxr101955c3c19	ZNTA_ECOLI	-1000	0	RL
mnxr101956c3c19	FIEF_ECOLI;ZITB_ECOLI	0	1000	LR
mnxr101958c2b		-1000	1000	B
mnxr101958c2c19	OMPC_ECOLI;OMPF_ECOLI;OMPN_ECOLI;PHOE_ECOLI	-1000	1000	B
mnxr101958c3c19	CORA_ECOLI	0	1000	LR
mnxr101959c3c19	ATMA_ECOLI;NIKA_ECOLI+NIKB_ECOLI+NIKC_ECOLI+NIKD_ECOLI+NIKE_ECOLI	-1000	0	RL
mnxr101969c3	PNCC_ECOLI	-1000	0	RL
mnxr101972c2b		0	1000	LR
mnxr101972c2c19	OMPC_ECOLI;OMPF_ECOLI;OMPN_ECOLI;PHOE_ECOLI	-1000	1000	B
mnxr101972c3c19	PNUC_ECOLI	0	1000	LR
mnxr101977c3	PNCA_ECOLI	0	1000	LR
mnxr101979c3	COBT_ECOLI	0	1000	LR
mnxr101984c3c19	NARK_ECOLI;NIRC_ECOLI	-1000	1000	B
mnxr101987c19c3	NAPA_ECOLI+NAPB_ECOLI+NAPC_ECOLI+NAPG_ECOLI+NAPH_ECOLI	-1000	0	RL
mnxr101989c19c3	NAPA_ECOLI+NAPB_ECOLI+NAPC_ECOLI	-1000	0	RL
mnxr101992c2b		0	1000	LR
mnxr101992c2c19	OMPC_ECOLI;OMPF_ECOLI;OMPN_ECOLI;PHOE_ECOLI	-1000	1000	B
mnxr101995c3c19	NARK_ECOLI;NARU_ECOLI	-1000	0	RL
mnxr102008c2b		0	1000	LR
mnxr102008c2c19	s0001	-1000	1000	B
mnxr102028c19	APHA_ECOLI;USHA_ECOLI	0	1000	LR
mnxr102028c3	5DNU_ECOLI;SURE_ECOLI;YFDR_ECOLI;YJJG_ECOLI	0	1000	LR
mnxr102031c19	APHA_ECOLI;USHA_ECOLI	0	1000	LR
mnxr102031c3	5DNU_ECOLI;SURE_ECOLI;YFDR_ECOLI;YRFG_ECOLI	0	1000	LR
mnxr102033c19	APHA_ECOLI;USHA_ECOLI	0	1000	LR
mnxr102033c3	5DNU_ECOLI;SURE_ECOLI;YFDR_ECOLI	0	1000	LR
mnxr102035c19	APHA_ECOLI;USHA_ECOLI	0	1000	LR
mnxr102035c3	5DNU_ECOLI;SURE_ECOLI;YFDR_ECOLI;YJJG_ECOLI	0	1000	LR
mnxr102036c19	APHA_ECOLI;USHA_ECOLI	0	1000	LR
mnxr102036c3	5DNU_ECOLI;SURE_ECOLI;YFDR_ECOLI	0	1000	LR
mnxr102057c3	DGTP_ECOLI	-1000	0	RL
mnxr102064c19c3	NRFA_ECOLI+NRFB_ECOLI+NRFC_ECOLI+NRFD_ECOLI	0	1000	LR
mnxr102065c19c3	NRFA_ECOLI+NRFB_ECOLI+NRFC_ECOLI+NRFD_ECOLI	0	1000	LR
mnxr102090c2b		-1000	1000	B
mnxr102090c2c19	OMPC_ECOLI;OMPF_ECOLI;OMPN_ECOLI;PHOE_ECOLI	-1000	1000	B
mnxr102090c3c19	s0001	-1000	1000	B
mnxr102097c3	ALKH_ECOLI	-1000	0	RL
mnxr102137c3	OTC1_ECOLI;OTC2_ECOLI	-1000	1000	B
mnxr102155c3	LPLA_ECOLI	-1000	0	RL
mnxr102160c3	FABG_ECOLI	0	1000	LR
mnxr102161c3	FABH_ECOLI	-1000	0	RL
mnxr102169c3	SERC_ECOLI	-1000	1000	B
mnxr102180c3	s0001	-1000	0	RL
mnxr102201c3	UBID_ECOLI	-1000	0	RL
mnxr102204c3		-1000	0	RL
mnxr102207c3	FABG_ECOLI	0	1000	LR
mnxr102208c3	FABB_ECOLI	-1000	0	RL
mnxr102209c3	DCOR_ECOLI;DCOS_ECOLI	-1000	0	RL
mnxr102222c3c19	ARGT_ECOLI+HISM_ECOLI+HISP_ECOLI+HISQ_ECOLI	-1000	0	RL
mnxr102223c2b		0	1000	LR
mnxr102223c2c19	OMPC_ECOLI;OMPF_ECOLI;OMPN_ECOLI;PHOE_ECOLI	-1000	1000	B
mnxr102229c3c19	DCTA_ECOLI	0	1000	LR
mnxr102230c2b		0	1000	LR
mnxr102230c2c19	OMPC_ECOLI;OMPF_ECOLI;OMPN_ECOLI;PHOE_ECOLI	-1000	1000	B
mnxr102236c3		0	1000	LR
mnxr102239c3	OXC_ECOLI	-1000	0	RL
