#MetaNetX/TSV/reactions.tsv 1.1
#ID	equation	source	mnxr_ID	classifs	pathways	xrefs
mnxr95412c2c3	1 MNXM726103@MNXC2 <==> 1 MNXM726103@MNXC3	MAR11250	MNXR95412			seedR:rxn09788;bigg.reaction:ACRNtm;bigg.reaction:ACRNtp;bigg.reaction:ACRNtr;bigg.reaction:EX_acrn_e;bigg.reaction:R_ACRNtm;bigg.reaction:R_ACRNtp;bigg.reaction:R_ACRNtr;bigg.reaction:R_EX_acrn_e;bigg.reaction:R_SK_acrn_c;bigg.reaction:SK_acrn_c;biggR:ACRNtm;biggR:ACRNtp;biggR:ACRNtr;biggR:EX_acrn_e;biggR:R_ACRNtm;biggR:R_ACRNtp;biggR:R_ACRNtr;biggR:R_EX_acrn_e;biggR:R_SK_acrn_c;biggR:SK_acrn_c;seed.reaction:rxn09788;seed.reaction:rxn09867;seedR:rxn09867
mnxr95412c3c13	1 MNXM726103@MNXC13 <==> 1 MNXM726103@MNXC3	MAR04645	MNXR95412			seedR:rxn09788;bigg.reaction:ACRNtm;bigg.reaction:ACRNtp;bigg.reaction:ACRNtr;bigg.reaction:EX_acrn_e;bigg.reaction:R_ACRNtm;bigg.reaction:R_ACRNtp;bigg.reaction:R_ACRNtr;bigg.reaction:R_EX_acrn_e;bigg.reaction:R_SK_acrn_c;bigg.reaction:SK_acrn_c;biggR:ACRNtm;biggR:ACRNtp;biggR:ACRNtr;biggR:EX_acrn_e;biggR:R_ACRNtm;biggR:R_ACRNtp;biggR:R_ACRNtr;biggR:R_EX_acrn_e;biggR:R_SK_acrn_c;biggR:SK_acrn_c;seed.reaction:rxn09788;seed.reaction:rxn09867;seedR:rxn09867
mnxr95412c3c4	1 MNXM726103@MNXC3 <==> 1 MNXM726103@MNXC4	MAR00060	MNXR95412			seedR:rxn09788;bigg.reaction:ACRNtm;bigg.reaction:ACRNtp;bigg.reaction:ACRNtr;bigg.reaction:EX_acrn_e;bigg.reaction:R_ACRNtm;bigg.reaction:R_ACRNtp;bigg.reaction:R_ACRNtr;bigg.reaction:R_EX_acrn_e;bigg.reaction:R_SK_acrn_c;bigg.reaction:SK_acrn_c;biggR:ACRNtm;biggR:ACRNtp;biggR:ACRNtr;biggR:EX_acrn_e;biggR:R_ACRNtm;biggR:R_ACRNtp;biggR:R_ACRNtr;biggR:R_EX_acrn_e;biggR:R_SK_acrn_c;biggR:SK_acrn_c;seed.reaction:rxn09788;seed.reaction:rxn09867;seedR:rxn09867
mnxr95422c3	1 MNXM1744@MNXC3 + 1 MNXM1@MNXC3 + 1 MNXM735438@MNXC3 + 1 MNXM738702@MNXC3 --> 1 MNXM310@MNXC3 + 1 MNXM5@MNXC3 + 2 WATER@MNXC3	MAR08499	MNXR95422			biggR:ACTLMO;bigg.reaction:ACTLMO;bigg.reaction:R_ACTLMO;biggR:R_ACTLMO
mnxr95423c3	1 MNXM1744@MNXC3 + 1 MNXM5@MNXC3 + 1 WATER@MNXC3 <-- 1 MNXM1@MNXC3 + 1 MNXM398@MNXC3 + 1 MNXM735438@MNXC3 + 1 MNXM738702@MNXC3	MAR08498	MNXR95423			biggR:ACTNMO;bigg.reaction:ACTNMO;bigg.reaction:R_ACTNMO;biggR:R_ACTNMO
mnxr95429c2c3	1 MNXM01@MNXC2 + 1 MNXM26@MNXC2 --> 1 MNXM01@MNXC3 + 1 MNXM26@MNXC3	MAR04935	MNXR95429	2.A.1.13.-		seedR:rxn05488;bigg.reaction:ACt2ipp;bigg.reaction:ACt2m;bigg.reaction:ACt2r;bigg.reaction:ACt2rpp;bigg.reaction:R_ACt2ipp;bigg.reaction:R_ACt2m;bigg.reaction:R_ACt2r;bigg.reaction:R_ACt2rpp;biggR:ACt2ipp;biggR:ACt2m;biggR:ACt2r;biggR:ACt2rpp;biggR:R_ACt2ipp;biggR:R_ACt2m;biggR:R_ACt2r;biggR:R_ACt2rpp;metacyc.reaction:TRANS-RXN0-571;metacycR:TRANS-RXN0-571;seed.reaction:rxn05488;seed.reaction:rxn08061;seedR:rxn08061
mnxr95429c3c4	1 MNXM01@MNXC3 + 1 MNXM26@MNXC3 <==> 1 MNXM01@MNXC4 + 1 MNXM26@MNXC4	MAR00061	MNXR95429	2.A.1.13.-		seedR:rxn05488;bigg.reaction:ACt2ipp;bigg.reaction:ACt2m;bigg.reaction:ACt2r;bigg.reaction:ACt2rpp;bigg.reaction:R_ACt2ipp;bigg.reaction:R_ACt2m;bigg.reaction:R_ACt2r;bigg.reaction:R_ACt2rpp;biggR:ACt2ipp;biggR:ACt2m;biggR:ACt2r;biggR:ACt2rpp;biggR:R_ACt2ipp;biggR:R_ACt2m;biggR:R_ACt2r;biggR:R_ACt2rpp;metacyc.reaction:TRANS-RXN0-571;metacycR:TRANS-RXN0-571;seed.reaction:rxn05488;seed.reaction:rxn08061;seedR:rxn08061
mnxr95433c3	1 MNXM1@MNXC3 + 1 MNXM266@MNXC3 + 1 MNXM40333@MNXC3 <-- 1 MNXM3@MNXC3 + 1 MNXM704@MNXC3	MAR04513	MNXR95433	2.7.1.145;2.7.1.20;2.7.1.21;2.7.1.213;2.7.1.74;2.7.1.76		rheaR:46040;bigg.reaction:ADADir;bigg.reaction:DCK1m;bigg.reaction:DCK1n;bigg.reaction:R_ADADir;bigg.reaction:R_DCK1m;bigg.reaction:R_DCK1n;biggR:ADADir;biggR:DCK1m;biggR:DCK1n;biggR:R_ADADir;biggR:R_DCK1m;biggR:R_DCK1n;kegg.reaction:R01666;keggR:R01666;metacyc.reaction:RXN-14093;metacycR:RXN-14093;rhea:46040;rhea:46041;rhea:46042;rhea:46043;rheaR:46041;rheaR:46042;rheaR:46043;sabiork.reaction:481;sabiorkR:481;seed.reaction:rxn01220;seedR:rxn01220
mnxr95433c4	1 MNXM1@MNXC4 + 1 MNXM266@MNXC4 + 1 MNXM40333@MNXC4 <==> 1 MNXM3@MNXC4 + 1 MNXM704@MNXC4	MAR08477	MNXR95433	2.7.1.145;2.7.1.20;2.7.1.21;2.7.1.213;2.7.1.74;2.7.1.76		rheaR:46040;bigg.reaction:ADADir;bigg.reaction:DCK1m;bigg.reaction:DCK1n;bigg.reaction:R_ADADir;bigg.reaction:R_DCK1m;bigg.reaction:R_DCK1n;biggR:ADADir;biggR:DCK1m;biggR:DCK1n;biggR:R_ADADir;biggR:R_DCK1m;biggR:R_DCK1n;kegg.reaction:R01666;keggR:R01666;metacyc.reaction:RXN-14093;metacycR:RXN-14093;rhea:46040;rhea:46041;rhea:46042;rhea:46043;rheaR:46041;rheaR:46042;rheaR:46043;sabiork.reaction:481;sabiorkR:481;seed.reaction:rxn01220;seedR:rxn01220
mnxr95433c6	1 MNXM1@MNXC6 + 1 MNXM266@MNXC6 + 1 MNXM40333@MNXC6 <==> 1 MNXM3@MNXC6 + 1 MNXM704@MNXC6	MAR08478	MNXR95433	2.7.1.145;2.7.1.20;2.7.1.21;2.7.1.213;2.7.1.74;2.7.1.76		rheaR:46040;bigg.reaction:ADADir;bigg.reaction:DCK1m;bigg.reaction:DCK1n;bigg.reaction:R_ADADir;bigg.reaction:R_DCK1m;bigg.reaction:R_DCK1n;biggR:ADADir;biggR:DCK1m;biggR:DCK1n;biggR:R_ADADir;biggR:R_DCK1m;biggR:R_DCK1n;kegg.reaction:R01666;keggR:R01666;metacyc.reaction:RXN-14093;metacycR:RXN-14093;rhea:46040;rhea:46041;rhea:46042;rhea:46043;rheaR:46041;rheaR:46042;rheaR:46043;sabiork.reaction:481;sabiorkR:481;seed.reaction:rxn01220;seedR:rxn01220
mnxr95442c4	1 MNXM13@MNXC4 + 1 MNXM398@MNXC4 <-- 1 MNXM1@MNXC4 + 1 MNXM729595@MNXC4	MAR04464	MNXR95442	4.1.1.4		rheaR:19729;bigg.reaction:ADCi;bigg.reaction:ADCim;bigg.reaction:R_ADCi;bigg.reaction:R_ADCim;biggR:ADCi;biggR:ADCim;biggR:R_ADCi;biggR:R_ADCim;kegg.reaction:R01366;keggR:R01366;metacyc.reaction:ACETOACETATE-DECARBOXYLASE-RXN;metacycR:ACETOACETATE-DECARBOXYLASE-RXN;rhea:19729;rhea:19730;rhea:19731;rhea:19732;rheaR:19730;rheaR:19731;rheaR:19732;sabiork.reaction:1568;sabiorkR:1568;seed.reaction:rxn00995;seedR:rxn00995
mnxr95444c3	1 MNXM11@MNXC3 + 1 MNXM243@MNXC3 <-- 1 MNXM3@MNXC3	MAR04000	MNXR95444	4.6.1.1		rheaR:15389;bigg.reaction:ADECn;bigg.reaction:ADNCYC;bigg.reaction:R_ADECn;bigg.reaction:R_ADNCYC;biggR:ADECn;biggR:ADNCYC;biggR:R_ADECn;biggR:R_ADNCYC;kegg.reaction:R00089;keggR:R00089;metacyc.reaction:ADENYLATECYC-RXN;metacycR:ADENYLATECYC-RXN;rhea:15389;rhea:15390;rhea:15391;rhea:15392;rheaR:15390;rheaR:15391;rheaR:15392;sabiork.reaction:101;sabiorkR:101;seed.reaction:rxn00065;seed.reaction:rxn35429;seedR:rxn00065;seedR:rxn35429
mnxr95445c2b	1 MNXM168@MNXC2 <==> 1 MNXM168@BOUNDARY	MAR09253	MNXR95445			seedR:rxn08065;bigg.reaction:ADEt;bigg.reaction:ADEtex;bigg.reaction:ADEtl;bigg.reaction:ADEtm;bigg.reaction:EX_ade_e;bigg.reaction:R_ADEt;bigg.reaction:R_ADEtex;bigg.reaction:R_ADEtl;bigg.reaction:R_ADEtm;bigg.reaction:R_EX_ade_e;biggR:ADEt;biggR:ADEtex;biggR:ADEtl;biggR:ADEtm;biggR:EX_ade_e;biggR:R_ADEt;biggR:R_ADEtex;biggR:R_ADEtl;biggR:R_ADEtm;biggR:R_EX_ade_e;metacyc.reaction:TRANS-RXN0-577;metacycR:TRANS-RXN0-577;sabiork.reaction:14548;sabiorkR:14548;seed.reaction:rxn08065;seed.reaction:rxn09786;seed.reaction:rxn10918;seed.reaction:rxn33249;seedR:rxn09786;seedR:rxn10918;seedR:rxn33249
mnxr95445c2c3	1 MNXM168@MNXC2 <==> 1 MNXM168@MNXC3	MAR04847	MNXR95445			seedR:rxn08065;bigg.reaction:ADEt;bigg.reaction:ADEtex;bigg.reaction:ADEtl;bigg.reaction:ADEtm;bigg.reaction:EX_ade_e;bigg.reaction:R_ADEt;bigg.reaction:R_ADEtex;bigg.reaction:R_ADEtl;bigg.reaction:R_ADEtm;bigg.reaction:R_EX_ade_e;biggR:ADEt;biggR:ADEtex;biggR:ADEtl;biggR:ADEtm;biggR:EX_ade_e;biggR:R_ADEt;biggR:R_ADEtex;biggR:R_ADEtl;biggR:R_ADEtm;biggR:R_EX_ade_e;metacyc.reaction:TRANS-RXN0-577;metacycR:TRANS-RXN0-577;sabiork.reaction:14548;sabiorkR:14548;seed.reaction:rxn08065;seed.reaction:rxn09786;seed.reaction:rxn10918;seed.reaction:rxn33249;seedR:rxn09786;seedR:rxn10918;seedR:rxn33249
mnxr95445c3c17	1 MNXM168@MNXC17 <==> 1 MNXM168@MNXC3	MAR07710	MNXR95445			seedR:rxn08065;bigg.reaction:ADEt;bigg.reaction:ADEtex;bigg.reaction:ADEtl;bigg.reaction:ADEtm;bigg.reaction:EX_ade_e;bigg.reaction:R_ADEt;bigg.reaction:R_ADEtex;bigg.reaction:R_ADEtl;bigg.reaction:R_ADEtm;bigg.reaction:R_EX_ade_e;biggR:ADEt;biggR:ADEtex;biggR:ADEtl;biggR:ADEtm;biggR:EX_ade_e;biggR:R_ADEt;biggR:R_ADEtex;biggR:R_ADEtl;biggR:R_ADEtm;biggR:R_EX_ade_e;metacyc.reaction:TRANS-RXN0-577;metacycR:TRANS-RXN0-577;sabiork.reaction:14548;sabiorkR:14548;seed.reaction:rxn08065;seed.reaction:rxn09786;seed.reaction:rxn10918;seed.reaction:rxn33249;seedR:rxn09786;seedR:rxn10918;seedR:rxn33249
mnxr95448c3c13	1 MNXM731566@MNXC13 <==> 1 MNXM731566@MNXC3	MAR07590	MNXR95448			biggR:ADHAPtx;bigg.reaction:ADHAPtx;bigg.reaction:R_ADHAPtx;biggR:R_ADHAPtx
mnxr95450c3	1 MNXM3@MNXC3 + 1 MNXM728294@MNXC3 <==> 2 MNXM40333@MNXC3	MAR04002	MNXR95450	2.7.4.10;2.7.4.3;2.7.4.4;2.7.4.8		rheaR:12973;bigg.reaction:ADK1;bigg.reaction:ADK1g;bigg.reaction:ADK1m;bigg.reaction:ATAMh;bigg.reaction:R_ADK1;bigg.reaction:R_ADK1g;bigg.reaction:R_ADK1m;bigg.reaction:R_ATAMh;biggR:ADK1;biggR:ADK1g;biggR:ADK1m;biggR:ATAMh;biggR:R_ADK1;biggR:R_ADK1g;biggR:R_ADK1m;biggR:R_ATAMh;kegg.reaction:R00127;keggR:R00127;metacyc.reaction:ADENYL-KIN-RXN;metacycR:ADENYL-KIN-RXN;rhea:12973;rhea:12974;rhea:12975;rhea:12976;rheaR:12974;rheaR:12975;rheaR:12976;sabiork.reaction:82;sabiorkR:82;seed.reaction:rxn00097;seed.reaction:rxn27684;seed.reaction:rxn27685;seedR:rxn00097;seedR:rxn27684;seedR:rxn27685
mnxr95450c4	1 MNXM3@MNXC4 + 1 MNXM728294@MNXC4 <==> 2 MNXM40333@MNXC4	MAR04004	MNXR95450	2.7.4.10;2.7.4.3;2.7.4.4;2.7.4.8		rheaR:12973;bigg.reaction:ADK1;bigg.reaction:ADK1g;bigg.reaction:ADK1m;bigg.reaction:ATAMh;bigg.reaction:R_ADK1;bigg.reaction:R_ADK1g;bigg.reaction:R_ADK1m;bigg.reaction:R_ATAMh;biggR:ADK1;biggR:ADK1g;biggR:ADK1m;biggR:ATAMh;biggR:R_ADK1;biggR:R_ADK1g;biggR:R_ADK1m;biggR:R_ATAMh;kegg.reaction:R00127;keggR:R00127;metacyc.reaction:ADENYL-KIN-RXN;metacycR:ADENYL-KIN-RXN;rhea:12973;rhea:12974;rhea:12975;rhea:12976;rheaR:12974;rheaR:12975;rheaR:12976;sabiork.reaction:82;sabiorkR:82;seed.reaction:rxn00097;seed.reaction:rxn27684;seed.reaction:rxn27685;seedR:rxn00097;seedR:rxn27684;seedR:rxn27685
mnxr95454c3	1 MNXM286@MNXC3 + 1 MNXM432@MNXC3 <==> 2 MNXM735047@MNXC3	MAR07802	MNXR95454			seedR:rxn10427;bigg.reaction:ADKd;bigg.reaction:R_ADKd;biggR:ADKd;biggR:R_ADKd;seed.reaction:rxn10427
