#MetaNetX/TSV/enzymes.tsv 1.1
#reac_ID	complex	LB	UB	direction
AGPR	b3958	-1000	1000	B
AGt3	b0572+b0573+b0574+b0575	0	1000	LR
AHCYSNS	b0159	0	1000	LR
AHGDx	b2913	-1000	1000	B
AI2K	b1511	0	1000	LR
AI2abcpp	b1513+b1514+b1515+b1516	0	1000	LR
AI2tex	b0241;b0929;b1377;b2215	-1000	1000	B
AI2tpp	b1601	0	1000	LR
AICART	b4006	-1000	1000	B
AIRC2	b0522	0	1000	LR
AIRC3	b0523	-1000	1000	B
AKGDH	b0116+b0726+b0727	0	1000	LR
AKGt2rpp	b2587	-1000	1000	B
AKGtex	b0241;b0929;b1377;b2215	-1000	1000	B
ALAALAD	b1488	0	1000	LR
ALAALAabcpp	b1483+b1484+b1485+b1486+b1487;b3540+b3541+b3542+b3543+b3544	0	1000	LR
ALAALAr	b0092;b0381	-1000	1000	B
ALAALAtex	b0241;b0929;b1377;b2215	-1000	1000	B
ALAGLUE	b1325	-1000	1000	B
ALAR	b1190;b4053	-1000	1000	B
ALATA_D2	b0870;b2551	0	1000	LR
ALATA_L	b2290;b2379	-1000	1000	B
ALATA_L2	b0870;b2551	0	1000	LR
ALAabcpp	b3454+b3455+b3456+b3457+b3460	0	1000	LR
ALAt2pp	b4130;b4208	0	1000	LR
ALAt4pp	b0007	0	1000	LR
ALAtex	b0241;b0929;b1377;b2215	-1000	1000	B
ALAtpp	b2670	0	1000	LR
ALCD19	b1241;b1478	-1000	1000	B
ALCD2x	b1241;b1478	-1000	1000	B
ALDD19xr	b1385	-1000	1000	B
ALDD2y	b0493;b3003;b3011;b3588;b4269	0	1000	LR
ALDD3y	b3011;b3588;b4269	0	1000	LR
ALDD4		0	1000	LR
ALKP	b2690	0	1000	LR
ALLK	b4084	0	1000	LR
ALLPI	b4090	-1000	1000	B
ALLTAMH2	b0516	0	1000	LR
ALLTN	b0512	0	1000	LR
ALLTNt2rpp	b0511	-1000	1000	B
ALLTNtex	b0241;b0929;b1377;b2215	-1000	1000	B
ALLULPE	b4085	-1000	1000	B
ALLabcpp	b4086+b4087+b4088	0	1000	LR
ALLtex	b0241;b0929;b1377;b2215	-1000	1000	B
ALPATE160pp	b0657+b1677	0	1000	LR
ALPATG160pp	b0657+b1677	0	1000	LR
ALR2	b0207;b1781;b3001;b3012	0	1000	LR
ALR2x	b1771	0	1000	LR
ALR4x	b3945	0	1000	LR
ALTRH	b3091	0	1000	LR
AM3PA	b0110	0	1000	LR
AM4PA	b0110	0	1000	LR
AM4PCP	b1192	0	1000	LR
AMALT1	b3416	0	1000	LR
AMALT2	b3416	0	1000	LR
AMALT3	b3416	0	1000	LR
AMALT4	b3416	0	1000	LR
AMANAPEr	b3223	-1000	1000	B
AMANK	b3222	0	1000	LR
AMAOTr	b0774	-1000	1000	B
AMMQLT8	b3833	0	1000	LR
AMPMS2	b3994	0	1000	LR
AMPN	b1982	0	1000	LR
AMPNTAT	b4093	0	1000	LR
AMPTASECG	b0237;b0932;b2523;b4260	0	1000	LR
AMPTASEPG	b0237;b0932;b2523;b4260	0	1000	LR
AMPtex	b0241;b0929;b1377;b2215	-1000	1000	B
ANHGMtex	b0241;b0929;b1377;b2215	-1000	1000	B
ANHMK	b1640	0	1000	LR
ANPRT	b1263	0	1000	LR
ANS	b1263+b1264	0	1000	LR
AOBUTDs	s0001	0	1000	LR
AOXSr2	b0776	0	1000	LR
AP4AH	b0049	0	1000	LR
AP4AS	b4129	0	1000	LR
AP5AH	b0049	0	1000	LR
APCS	b0121	0	1000	LR
APG3PAT120	b3059	0	1000	LR
APG3PAT140	b3059	0	1000	LR
APG3PAT141	b3059	0	1000	LR
APG3PAT160	b3059	0	1000	LR
APG3PAT161	b3059	0	1000	LR
APG3PAT180	b3059	0	1000	LR
APG3PAT181	b3059	0	1000	LR
APH120	b0968	0	1000	LR
APH140	b0968	0	1000	LR
APH141	b0968	0	1000	LR
APH160	b0968	0	1000	LR
APH161	b0968	0	1000	LR
APH180	b0968	0	1000	LR
APH181	b0968	0	1000	LR
APPLDHr	b3945	-1000	1000	B
APRAUR	b0414	0	1000	LR
ARABDI	b2802	-1000	1000	B
ARAI	b0062	-1000	1000	B
ARBTNR1		0	1000	LR
ARBTNR2		0	1000	LR
ARBTNR3		0	1000	LR
ARBTNabcpp	b0151+b0152+b0153	0	1000	LR
ARBTNexs	s0001	0	1000	LR
ARBTNtex		0	1000	LR
ARBTNtonex		0	1000	LR
ARBTNtpp		0	1000	LR
ARBTptspp	b2415+b2416+b2715;b2415+b2416+b3722	0	1000	LR
ARBTtex	b0241;b0929;b1377;b2215	0	1000	LR
ARBabcpp	b1900+b1901+b4460	0	1000	LR
ARBt2rpp	b2841	-1000	1000	B
ARBt3ipp	b1528	0	1000	LR
ARBtex	b0241;b0929;b1377;b2215	-1000	1000	B
ARGAGMt7pp	b4115	-1000	1000	B
