#SOLVER	GUROBI
#METHOD	
#TOLERANCE	1e-08
#GROWTH	0.876992529900906	BIOMASS_Ec_iML1515_core_75p37M
#GROWTH_SUB	0.876992529900903	BIOMASS_Ec_iML1515_core_75p37M
DMSOtex	a
DMSOtpp	B
DMStex	a
DM_4crsol_c	A
DM_5drib_c	A
DM_aacald_c	a
DM_amob_c	A
DM_mththf_c	A
DM_oxam_c	A
DNMPPA	A
DNTPPA	A
DOGULNR	B
DOPAtex	a
DOXRBCNtex	A
DOXRBCNtpp	A
DPCOAK	A
DPR	A
DRPA	A
DSBAO1	b
DSBAO2	b
DSBCGT	b
DSBDR	b
DSBGGT	b
DSERDHr	A
DSERt2pp	a
DSERtex	a
DTARTD	a
DTMPK	A
DTMPtex	a
DUMPtex	a
DURADx	B
DURIK1	A
DURIPP	A
DURIt2pp	a
DURItex	a
DUTPDP	A
DXPRIi	A
DXPS	A
DXYLK	B
DXYLONtex	A
DXYLONtpp	A
DXYLTD	A
D_LACt2pp	A
D_LACtex	A
E4PD	A
E4PP	B
EAR100x	A
EAR100y	A
EAR120x	A
EAR120y	A
EAR121x	A
EAR121y	A
EAR140x	A
EAR140y	A
EAR141x	A
EAR141y	A
EAR160x	A
EAR160y	A
EAR161x	A
EAR161y	A
EAR180x	A
EAR180y	A
EAR181x	A
EAR181y	A
EAR40x	A
EAR40y	A
EAR60x	A
EAR60y	A
EAR80x	A
EAR80y	A
ECA4COLIPAabctex	A
ECA4OALpp	A
ECAP1pp	A
ECAP2pp	A
ECAP3pp	A
ECAtpp	A
ECOAH1	A
ECOAH2	A
ECOAH3	A
ECOAH4	A
ECOAH5	A
ECOAH6	A
ECOAH7	A
ECOAH8	A
EDA	A
EDD	A
EDTXS1	A
EDTXS2	A
EDTXS3	B
EDTXS4	B
EGMEACPR	A
ENLIPAabctex	A
ENO	A
ENTCS	A
ENTERES	A
EPMEACPR	A
ETHAAL	A
ETHAt2pp	A
ETHAtex	A
ETHSO3abcpp	a
ETHSO3tex	a
ETOHtex	A
ETOHtrpp	A
EX_12ppd__R_e	A
EX_12ppd__S_e	A
EX_14glucan_e	a
EX_15dap_e	A
EX_23camp_e	a
EX_23ccmp_e	a
EX_23cgmp_e	a
EX_23cump_e	a
EX_23dappa_e	a
EX_26dap__M_e	a
EX_2ddglcn_e	a
EX_2dglc_e	B
EX_34dhpac_e	a
EX_3amp_e	a
EX_3cmp_e	a
EX_3gmp_e	a
EX_3hcinnm_e	a
EX_3hpp_e	A
EX_3hpppn_e	a
EX_3ump_e	a
EX_4abut_e	A
EX_4abzglu_e	A
EX_4hoxpacd_e	a
EX_5dglcn_e	A
EX_5mtr_e	A
EX_LalaDgluMdapDala_e	A
EX_LalaDgluMdap_e	A
EX_LalaDglu_e	a
EX_LalaLglu_e	a
EX_ac_e	A
EX_acac_e	a
EX_acald_e	A
EX_acgal1p_e	a
EX_acgal_e	a
EX_acgam1p_e	a
EX_acgam_e	a
EX_acmana_e	a
EX_acmum_e	a
EX_acnam_e	a
EX_acser_e	A
EX_ade_e	A
EX_adn_e	A
EX_adocbl_e	b
EX_ag_e	B
EX_agm_e	A
EX_akg_e	A
EX_ala_B_e	a
EX_ala__D_e	A
EX_ala__L_e	A
EX_alaala_e	A
EX_all__D_e	a
EX_alltn_e	A
EX_amp_e	a
EX_anhgm_e	A
EX_arab__L_e	a
EX_arbt_e	B
EX_arbtn_e	a
EX_arbtn_fe3_e	a
EX_arg__L_e	A
EX_ascb__L_e	a
EX_asn__L_e	A
EX_aso3_e	B
EX_asp__L_e	A
EX_btn_e	a
EX_but_e	a
EX_butso3_e	a
EX_ca2_e	A
EX_cbi_e	B
EX_cbl1_e	b
EX_cd2_e	B
EX_cellb_e	a
EX_cgly_e	A
EX_ch4_e	a
EX_chol_e	a
EX_chtbs_e	B
EX_cit_e	A
EX_cl_e	A
EX_cm_e	B
EX_cmp_e	a
EX_co2_e	A
EX_cobalt2_e	A
EX_cpgn_e	a
EX_cpgn_un_e	a
EX_crn__D_e	b
EX_crn_e	b
EX_cs1_e	B
EX_csn_e	a
EX_cu2_e	A
EX_cu_e	a
EX_cyan_e	a
EX_cynt_e	a
EX_cys__D_e	a
EX_cys__L_e	A
EX_cytd_e	A
EX_dad_2_e	a
EX_damp_e	a
EX_dca_e	a
EX_dcmp_e	a
EX_dcyt_e	a
EX_ddca_e	a
EX_dgmp_e	a
EX_dgsn_e	a
EX_dha_e	A
EX_dhps_e	a
EX_dimp_e	a
EX_din_e	a
EX_dms_e	a
EX_dmso_e	a
EX_dopa_e	a
EX_doxrbcn_e	B
EX_dtmp_e	a
EX_dump_e	a
EX_duri_e	a
EX_dxylnt_e	A
EX_eca4colipa_e	A
EX_enlipa_e	A
EX_enter_e	A
EX_etha_e	A
EX_ethso3_e	a
EX_etoh_e	A
EX_f6p_e	a
EX_fad_e	A
EX_fald_e	a
EX_fe2_e	A
EX_fe3_e	A
EX_fe3dcit_e	A
EX_fe3dhbzs_e	B
EX_fe3hox_e	a
EX_fe3hox_un_e	a
EX_fecrm_e	a
EX_fecrm_un_e	a
EX_feenter_e	A
EX_feoxam_e	a
EX_feoxam_un_e	a
EX_fmn_e	A
EX_for_e	A
EX_fru_e	a
EX_frulys_e	a
EX_fruur_e	a
EX_fuc__L_e	a
